"","trial","assignment","results"
"23",1,1,0
"19",2,1,0
"43",3,0,1
"25",4,1,0
"42",5,0,1
"20",6,1,0
"33",7,0,0
"49",8,0,1
"35",9,0,1
"34",10,0,0
"8",11,1,0
"47",12,0,0
"31",13,0,0
"6",14,1,0
"38",15,0,1
"32",16,0,1
"41",17,0,1
"14",18,1,0
"26",19,0,0
"30",20,0,1
"48",21,0,0
"10",22,1,0
"1",23,1,0
"17",24,1,0
"40",25,0,0
"16",26,1,0
"13",27,1,0
"11",28,1,1
"44",29,0,0
"4",30,1,1
"2",31,1,1
"28",32,0,1
"45",33,0,1
"18",34,1,0
"46",35,0,1
"22",36,1,0
"27",37,0,1
"7",38,1,1
"9",39,1,0
"15",40,1,1
"29",41,0,1
"50",42,0,0
"39",43,0,1
"5",44,1,1
"3",45,1,1
"36",46,0,1
"24",47,1,1
"37",48,0,1
"21",49,1,0
"12",50,1,1
